iter	MultiClass
0	1.092988908
1	1.087631235
2	1.082904864
3	1.078204411
4	1.074386056
5	1.070361501
6	1.066905887
7	1.063519895
8	1.059944916
9	1.056952368
10	1.053202603
11	1.050441851
12	1.047011176
13	1.044306817
14	1.040877523
15	1.038803624
16	1.036408965
17	1.033358649
18	1.030778507
19	1.028397436
20	1.025533276
21	1.022767319
22	1.020792003
23	1.018837329
24	1.016806372
25	1.015023761
26	1.012958895
27	1.011466253
28	1.010105207
29	1.008395739
30	1.007206986
31	1.005746938
32	1.003917336
33	1.001754911
34	1.000259328
35	0.998411962
36	0.9968644677
37	0.9951634889
38	0.9938371104
39	0.9924408154
40	0.9906330589
41	0.989024559
42	0.9876583448
43	0.9859726169
44	0.9844150637
45	0.9827300147
46	0.9813633287
47	0.9800455895
48	0.9790790157
49	0.9776596465
50	0.9759787821
51	0.9748612828
52	0.9735095945
53	0.9725361778
54	0.9715790007
55	0.9702444289
56	0.9691511524
57	0.9681725735
58	0.9673176066
59	0.9664876702
60	0.9651218003
61	0.964216467
62	0.9635613515
63	0.9628956171
64	0.9621824499
65	0.9613978886
66	0.9606639939
67	0.9598066597
68	0.9590875368
69	0.9585949376
70	0.9578225996
71	0.9569158378
72	0.9559011618
73	0.9549348756
74	0.9541627807
75	0.9536631666
76	0.9528711504
77	0.9515881125
78	0.9506567549
79	0.9498454035
80	0.9489939307
81	0.9483201512
82	0.9475955058
83	0.946801201
84	0.9458375196
85	0.945117318
86	0.9442908785
87	0.9437088072
88	0.9426853494
89	0.9416214164
90	0.9410411555
91	0.9403576706
92	0.9395547494
93	0.9386240371
94	0.9376566079
95	0.9370448553
96	0.9364112431
97	0.9357789958
98	0.9352939179
99	0.9347466567
100	0.9341398872
101	0.9336141043
102	0.9329295368
103	0.9321449187
104	0.9311192837
105	0.9304960387
106	0.9299313641
107	0.9291807132
108	0.9288407008
109	0.9284855783
110	0.9280135024
111	0.9272520743
112	0.9268579563
113	0.926536963
114	0.9259598305
115	0.9253841394
116	0.924921259
117	0.9241244313
118	0.9235069078
119	0.9226162725
120	0.9220791854
121	0.9213528742
122	0.9207660111
123	0.9203280011
124	0.919842649
125	0.9192214019
126	0.91865641
127	0.9182471378
128	0.9176243416
129	0.9169378679
130	0.9163304893
131	0.9156688013
132	0.9148563829
133	0.9143303358
134	0.9138165308
135	0.9133935934
136	0.9130429959
137	0.9120257163
138	0.9114696722
139	0.9110631211
140	0.910659586
141	0.9098393309
142	0.9092226679
143	0.9086884713
144	0.9083975154
145	0.9077090965
146	0.9073981774
147	0.906745248
148	0.9063311316
149	0.9057694753
150	0.9053169425
151	0.904715449
152	0.9040445335
153	0.9036090015
154	0.9030856445
155	0.9026817523
156	0.9023572304
157	0.9016084603
158	0.9011581636
159	0.900352392
160	0.8998984527
161	0.8994671333
162	0.8988978148
163	0.8983173434
164	0.8978690502
165	0.8973531724
166	0.8967191595
167	0.8961485978
168	0.8952875023
169	0.8943348411
170	0.8937967134
171	0.8934875712
172	0.8925132973
173	0.892103384
174	0.8914829009
175	0.89103813
176	0.8904771778
177	0.8897180894
178	0.8891479199
179	0.8885160643
180	0.8877043719
181	0.8868449139
182	0.8864256075
183	0.8858783332
184	0.8855909458
185	0.885072461
186	0.8844875604
187	0.8839617381
188	0.8833369854
189	0.8830998237
190	0.8826545302
191	0.8819376284
192	0.8813274003
193	0.8807169107
194	0.8800929722
195	0.8797452873
196	0.8793695292
197	0.8789253047
198	0.8783026275
199	0.8774126213
200	0.8769972056
201	0.8763680017
202	0.8761082805
203	0.8754987232
204	0.8750989025
205	0.8743954886
206	0.8737427317
207	0.8732089272
208	0.8727839203
209	0.872228448
210	0.8717521394
211	0.871093729
212	0.8706038209
213	0.8703720071
214	0.8699115186
215	0.8694900449
216	0.8687283891
217	0.8681694229
218	0.8675348312
219	0.8669091412
