iter	Passed	Remaining
0	10	16370
1	18	13845
2	25	12739
3	31	11639
4	37	11064
5	42	10681
6	48	10402
7	57	10665
8	65	10872
9	76	11445
10	85	11548
11	97	12028
12	115	13253
13	133	14216
14	146	14504
15	158	14720
16	167	14627
17	177	14647
18	186	14561
19	195	14454
20	203	14321
21	210	14131
22	218	14046
23	229	14091
24	240	14172
25	248	14101
26	258	14116
27	266	14021
28	276	14012
29	286	14052
30	293	13929
31	302	13859
32	311	13856
33	319	13767
34	331	13870
35	343	13976
36	355	14059
37	365	14078
38	374	14031
39	382	13960
40	392	13951
41	405	14065
42	413	14016
43	421	13945
44	429	13895
45	438	13856
46	446	13805
47	455	13783
48	469	13915
49	480	13945
50	491	13951
51	499	13898
52	506	13826
53	514	13776
54	523	13752
55	531	13705
56	538	13644
57	547	13600
58	554	13531
59	560	13460
60	568	13405
61	576	13373
62	587	13395
63	596	13377
64	604	13338
65	613	13327
66	622	13309
67	629	13263
68	639	13254
69	646	13198
70	654	13180
71	662	13141
72	670	13110
73	679	13097
74	687	13064
75	695	13024
76	702	12983
77	714	13034
78	725	13055
79	735	13048
80	742	13007
81	750	12982
82	758	12949
83	765	12910
84	772	12866
85	780	12825
86	788	12802
87	795	12768
88	807	12807
89	818	12828
90	827	12815
91	834	12774
92	841	12738
93	851	12731
94	860	12729
95	870	12728
96	879	12720
97	886	12685
98	894	12651
99	901	12627
100	908	12582
101	917	12575
102	925	12547
103	934	12537
104	941	12506
105	948	12468
106	956	12458
107	965	12444
108	972	12409
109	980	12392
110	987	12355
111	995	12331
112	1003	12312
113	1010	12284
114	1018	12270
115	1029	12278
116	1039	12284
117	1048	12283
118	1056	12263
119	1063	12231
120	1071	12210
121	1078	12186
122	1087	12176
123	1095	12153
124	1104	12144
125	1112	12127
126	1120	12112
127	1129	12102
128	1137	12086
129	1146	12081
130	1154	12061
131	1162	12051
132	1171	12036
133	1178	12015
134	1186	12000
135	1195	11986
136	1203	11977
137	1211	11958
138	1224	11988
139	1236	12012
140	1244	11996
141	1253	11987
142	1260	11961
143	1268	11940
144	1276	11932
145	1285	11921
146	1294	11919
147	1303	11903
148	1311	11890
149	1318	11869
150	1327	11858
151	1338	11867
152	1349	11882
153	1358	11870
154	1365	11853
155	1374	11841
156	1381	11821
157	1391	11818
158	1399	11801
159	1407	11783
160	1415	11771
161	1422	11752
162	1429	11727
163	1439	11726
164	1453	11763
165	1461	11745
166	1469	11729
167	1477	11712
168	1484	11695
169	1492	11678
170	1501	11665
171	1509	11655
172	1518	11647
173	1525	11629
174	1533	11614
175	1541	11593
176	1548	11571
177	1555	11550
178	1562	11530
179	1570	11518
180	1580	11516
181	1590	11516
182	1606	11561
183	1615	11553
184	1622	11534
185	1630	11517
186	1637	11498
187	1648	11506
188	1720	11935
189	1734	11958
190	1740	11925
191	1745	11890
192	1751	11858
193	1757	11828
194	1762	11795
195	1768	11765
196	1776	11746
197	1783	11726
198	1791	11715
199	1803	11723
200	1816	11737
201	1831	11768
202	1853	11843
203	1873	11901
204	1886	11915
205	1894	11900
206	1903	11889
207	1913	11883
208	1923	11883
209	1931	11864
210	1939	11849
211	1950	11852
212	1994	12048
213	2003	12041
214	2012	12029
215	2019	12007
216	2027	11987
217	2034	11966
218	2043	11954
219	2053	11947
